question,image,option1,option2,option3,option4,answer
A’s son B is married with C whose sister D is married to E the brother of B. How D is related to A?,,Sister,Daughter-in-law,Sister-in-law,Cousin,B
"Pointing to Priyanka a person said, ""The son of her only brother is the brother of my wife."" How Priyanka is related Priyanka related to the person?",,Maternal aunt,Grandmother,Sister of father-in-law,None of these,C
"Pointing to a boy in the photograph Pooja said, ""He is the only son of the only child of my grandfather."" How Pooja is related to that boy?",,Mother,Sister,Aunt,Cannot be determined,B
"Pointing towards Neha, Sanchit says, ""This girl is the daughter of only child of my father."" What is the relation of Sanchit's wife to Neha?",,Daughter,Mother,Aunt,Sister,B
"Shushant said to a lady sitting in a car, ""The only daughter of the brother of my wife is the sister-in- law of the brother of your sister."" How the husband of the lady is related to Sushant?",,Meternity Uncle,Uncle,Father,SON In Law,D
"some groups of letters are given, all of which, except one, share a common similarity while one is different. Choose the odd one out.",,HSRI,MVUN,OLKP,PJQX,D
"some groups of letters are given, all of which, except one, share a common similarity while one is different. Choose the odd one out.",,YDWB,TKRI,QNOM,HLFJ,C
"In the word 'PARADISE', how many pairs of letters are there which have as many letters between them in the word as in the English alphabet?",,None,One,Two,Three,C
"From the word 'BEHIND', how many independent words can be made without changing the order of the letters and using each letter only once?",,1,2,3,4,B
"From the word 'LAPAROSCOPY', how many independent meaningful words can be made without changing the order of the letters and using each letter only once ?",,1,2,3,4,B
"90, 180, 12, 50, 100, 200, ?, 3, 50, 4, 25, 2, 6, 30, 3",,150,175,225,250,A
"2/3, 4/7, ?, 11/21, 16/31",,05/Sep,06/Nov,07/13,09/17,C
"4/9, 9/20, ?, 39/86",,17/40,19/42,20/45,29/53,B
"3, 10, 29, 66, 127, ?",,164,187,216,218,D
"2, 9, 28, ?, 126, 127, 217, 344
",,50,65,70,82,B
 Who is sitting to the left of A?,IMAGE-APP-D-31,E,F,G,H,B
E is facing whom?,IMAGE-APP-D-32,F,B,G,H,D
Who are immediate neighbours of B?,IMAGE-APP-D-33,G and H,E and F ,E and H , F and H,A
"A,B,C, D,E and F are sitting around a round table. A is between E and F, E is opposite to D, and C is not in   either of the neighbouring seats of E. Who is opposite to B?",IMAGE-APP-D-34,C,D,F,none of the mentioned,C
"Six person A, B, C, D, E and F are standing in a circle, B is between D and C. A is between E and C. F is to the right of D. Who is between A and F?",IMAGE-APP-D-35,B,C,D,E,D
FAKE,IMAGE-APP-D-36," 04, 01, 66, 12 ","21, 41, 65, 00","21, 14, 65, 00","01, 14, 56, 00     ",B
PHGW,IMAGE-APP-D-37,"55, 32, 24, 88 ","56, 32, 24, 87 ","97, 23, 42, 88"," 76, 32, 42, 75  ",D
STEM,IMAGE-APP-D-38,"03, 57, 12, 87","22, 79, 41, 58","22, 57, 21, 85","22, 57, 21, 58",A
VAST,IMAGE-APP-D-39,"89, 01, 22, 56","89, 23, 22, 75","56, 41, 44, 57","56, 23, 22, 75    ",C
FRANK,IMAGE-APP-D-40,"04, 78, 01, 58, 66","21, 78, 41, 85, 65","21, 66, 01, 85, 56","04, 66, 10, 58, 65",B
